#   sigma=1  ratio=0.03
# k Delta_tot
0.1  4.298349849012906e-09
0.11721022975334802  6.9193376845449234e-09
0.1373823795883263  1.1137232681757877e-08
0.16102620275609392  1.7923439052114422e-08
0.18873918221350972  2.8838391804854788e-08
0.2212216291070449  4.638644947844151e-08
0.2592943797404667  7.458186127509908e-08
0.30391953823131973  1.198480154936866e-07
0.3562247890262442  1.924388770996116e-07
0.41753189365604015  3.0866968063806915e-07
0.4893900918477494  4.943820500404724e-07
0.5736152510448679  7.902486342806558e-07
0.6723357536499337  1.259723021467702e-06
0.7880462815669912  2.000581164224244e-06
0.9236708571873861  3.1608643145429265e-06
1.0826367338740546  4.959130485426626e-06
1.2689610031679222  7.70628219150488e-06
1.487352107293511  1.1820235447879074e-05
1.743328822199988  1.7813324705994813e-05
2.0433597178569416  2.6215197747811936e-05
2.395026619987486  3.7378356905424736e-05
2.807216203941177  5.1126730864477796e-05
3.2903445623126677  6.630695411888294e-05
3.856620421163472  8.053884232421553e-05
4.520353656360243  9.071602416706266e-05
5.298316906283707  9.45561806507136e-05
6.2101694189156165  9.222063056735259e-05
7.27895384398315  8.5987553897271e-05
8.531678524172806  7.80674459609778e-05
10.0  6.957119025391775e-05
