#T  =  50 
# alpha    sigma 
0.6122448979591836 13 
0.6326530612244897 13 
0.6530612244897959 13 
0.673469387755102 13 
0.6938775510204082 13 
0.7142857142857142 13 
0.7346938775510203 13 
0.7551020408163265 13 
0.7755102040816326 13 
0.7959183673469387 13 
0.8163265306122448 13 
0.836734693877551 13 
0.8571428571428571 13 
0.8775510204081632 13 
0.8979591836734693 13 
0.9183673469387754 13 
0.9387755102040816 13 
0.9591836734693877 13 
0.9795918367346939 13 
1.0 13 
0.12244897959183673 14 
0.14285714285714285 14 
0.16326530612244897 14 
0.18367346938775508 14 
0.2040816326530612 14 
0.22448979591836732 14 
0.24489795918367346 14 
0.26530612244897955 14 
0.2857142857142857 14 
0.3061224489795918 14 
0.32653061224489793 14 
0.3469387755102041 14 
0.36734693877551017 14 
0.3877551020408163 14 
0.4081632653061224 14 
0.42857142857142855 14 
0.44897959183673464 14 
0.4693877551020408 14 
0.4897959183673469 14 
0.5102040816326531 14 
0.5306122448979591 14 
0.5510204081632653 14 
0.5714285714285714 14 
0.5918367346938775 14 
0.6122448979591836 14 
0.6326530612244897 14 
0.6530612244897959 14 
0.673469387755102 14 
0.6938775510204082 14 
0.7142857142857142 14 
0.7346938775510203 14 
0.7551020408163265 14 
0.7755102040816326 14 
0.7959183673469387 14 
0.8163265306122448 14 
0.836734693877551 14 
0.8571428571428571 14 
0.8775510204081632 14 
0.8979591836734693 14 
0.9183673469387754 14 
0.9387755102040816 14 
0.9591836734693877 14 
0.9795918367346939 14 
1.0 14 
0.12244897959183673 15 
0.14285714285714285 15 
0.16326530612244897 15 
0.18367346938775508 15 
0.2040816326530612 15 
0.22448979591836732 15 
0.24489795918367346 15 
0.26530612244897955 15 
0.2857142857142857 15 
0.3061224489795918 15 
0.32653061224489793 15 
0.3469387755102041 15 
0.36734693877551017 15 
0.3877551020408163 15 
0.4081632653061224 15 
0.42857142857142855 15 
0.44897959183673464 15 
0.4693877551020408 15 
0.4897959183673469 15 
0.5102040816326531 15 
0.5306122448979591 15 
0.5510204081632653 15 
0.5714285714285714 15 
0.5918367346938775 15 
0.6122448979591836 15 
0.6326530612244897 15 
0.6530612244897959 15 
0.673469387755102 15 
0.6938775510204082 15 
0.7142857142857142 15 
0.7346938775510203 15 
0.7551020408163265 15 
0.7755102040816326 15 
0.7959183673469387 15 
0.8163265306122448 15 
0.836734693877551 15 
0.8571428571428571 15 
0.8775510204081632 15 
0.8979591836734693 15 
0.9183673469387754 15 
0.9387755102040816 15 
0.9591836734693877 15 
0.9795918367346939 15 
1.0 15 
0.12244897959183673 16 
0.14285714285714285 16 
0.16326530612244897 16 
0.18367346938775508 16 
0.2040816326530612 16 
0.22448979591836732 16 
0.24489795918367346 16 
0.26530612244897955 16 
0.2857142857142857 16 
0.3061224489795918 16 
0.32653061224489793 16 
0.3469387755102041 16 
0.36734693877551017 16 
0.3877551020408163 16 
0.4081632653061224 16 
0.42857142857142855 16 
0.44897959183673464 16 
0.4693877551020408 16 
0.4897959183673469 16 
0.5102040816326531 16 
0.5306122448979591 16 
0.5510204081632653 16 
0.5714285714285714 16 
0.5918367346938775 16 
0.6122448979591836 16 
0.6326530612244897 16 
0.6530612244897959 16 
0.673469387755102 16 
0.6938775510204082 16 
0.7142857142857142 16 
0.7346938775510203 16 
0.7551020408163265 16 
0.7755102040816326 16 
0.7959183673469387 16 
0.8163265306122448 16 
0.836734693877551 16 
0.8571428571428571 16 
0.8775510204081632 16 
0.8979591836734693 16 
0.9183673469387754 16 
0.9387755102040816 16 
0.9591836734693877 16 
0.9795918367346939 16 
1.0 16 
0.12244897959183673 17 
0.14285714285714285 17 
0.16326530612244897 17 
0.18367346938775508 17 
0.2040816326530612 17 
0.22448979591836732 17 
0.24489795918367346 17 
0.26530612244897955 17 
0.2857142857142857 17 
0.3061224489795918 17 
0.32653061224489793 17 
0.3469387755102041 17 
0.36734693877551017 17 
0.3877551020408163 17 
0.4081632653061224 17 
0.42857142857142855 17 
0.44897959183673464 17 
0.4693877551020408 17 
0.4897959183673469 17 
0.5102040816326531 17 
0.5306122448979591 17 
0.5510204081632653 17 
0.5714285714285714 17 
0.5918367346938775 17 
0.6122448979591836 17 
0.6326530612244897 17 
0.6530612244897959 17 
0.673469387755102 17 
0.6938775510204082 17 
0.7142857142857142 17 
0.7346938775510203 17 
0.7551020408163265 17 
0.7755102040816326 17 
0.7959183673469387 17 
0.8163265306122448 17 
0.836734693877551 17 
0.8571428571428571 17 
0.8775510204081632 17 
0.8979591836734693 17 
0.9183673469387754 17 
0.9387755102040816 17 
0.9591836734693877 17 
0.9795918367346939 17 
1.0 17 
0.12244897959183673 18 
0.14285714285714285 18 
0.16326530612244897 18 
0.18367346938775508 18 
0.2040816326530612 18 
0.22448979591836732 18 
0.24489795918367346 18 
0.26530612244897955 18 
0.2857142857142857 18 
0.3061224489795918 18 
0.32653061224489793 18 
0.3469387755102041 18 
0.36734693877551017 18 
0.3877551020408163 18 
0.4081632653061224 18 
0.42857142857142855 18 
0.44897959183673464 18 
0.4693877551020408 18 
0.4897959183673469 18 
0.5102040816326531 18 
0.5306122448979591 18 
0.5510204081632653 18 
0.5714285714285714 18 
0.5918367346938775 18 
0.6122448979591836 18 
0.6326530612244897 18 
0.6530612244897959 18 
0.673469387755102 18 
0.6938775510204082 18 
0.7142857142857142 18 
0.7346938775510203 18 
0.7551020408163265 18 
0.7755102040816326 18 
0.7959183673469387 18 
0.8163265306122448 18 
0.836734693877551 18 
0.8571428571428571 18 
0.8775510204081632 18 
0.8979591836734693 18 
0.9183673469387754 18 
0.9387755102040816 18 
0.9591836734693877 18 
0.9795918367346939 18 
1.0 18 
0.12244897959183673 19 
0.14285714285714285 19 
0.16326530612244897 19 
0.18367346938775508 19 
0.2040816326530612 19 
0.22448979591836732 19 
0.24489795918367346 19 
0.26530612244897955 19 
0.2857142857142857 19 
0.3061224489795918 19 
0.32653061224489793 19 
0.3469387755102041 19 
0.36734693877551017 19 
0.3877551020408163 19 
0.4081632653061224 19 
0.42857142857142855 19 
0.44897959183673464 19 
0.4693877551020408 19 
0.4897959183673469 19 
0.5102040816326531 19 
0.5306122448979591 19 
0.5510204081632653 19 
0.5714285714285714 19 
0.5918367346938775 19 
0.6122448979591836 19 
0.6326530612244897 19 
0.6530612244897959 19 
0.673469387755102 19 
0.6938775510204082 19 
0.7142857142857142 19 
0.7346938775510203 19 
0.7551020408163265 19 
0.7755102040816326 19 
0.7959183673469387 19 
0.8163265306122448 19 
0.836734693877551 19 
0.8571428571428571 19 
0.8775510204081632 19 
0.8979591836734693 19 
